ÿStateName,StateAbbr,TotalTaking,TotalPassing,PercentPassing,year
Kansas,KS,149,125,0.84,2019
Louisiana,LA,735,477,0.65,2019
Maine,ME,175,81,0.46,2019
Maryland,MD,1140,692,0.61,2019
Massachusetts,MA,1875,1216,0.65,2019
Michigan,MI,1011,604,0.6,2019
Mississippi,MS,258,167,0.65,2019
Missouri,MO,948,695,0.73,2019
Nebraska,NE,200,144,0.72,2019
New Hampshire,NH,162,90,0.56,2019
New Jersey,NJ,1305,770,0.59,2019
New Mexico,NM,323,219,0.68,2019
New York,NY,14200,8380,0.59,2019
North Carolina,NC,1303,904,0.69,2019
North Dakota,ND,119,78,0.66,2019
Oklahoma,OK,431,326,0.76,2019
Pennsylvania,PA,1780,1235,0.69,2019
South Carolina,SC,662,443,0.67,2019
South Dakota,SD,104,78,0.75,2019
Tennessee,TN,989,631,0.64,2019
Texas,TX,4092,2624,0.64,2019
Utah,UT,327,256,0.78,2019
Vermont,VT,117,70,0.6,2019
U.S. Virgin Islands,VI,18,8,0.44,2019
Virginia,VA,910,650,0.71,2019
West Virginia,WV,242,147,0.61,2019
Wisconsin,WI,201,116,0.58,2019
Wyoming,WY,83,55,0.66,2019
Washington,WA,943,590,0.63,2019
ABA Federal,US,,,,2019
Alabama,AL,755,346,0.46,2020
Arizona,AR,849,530,0.62,2020
Arkansas,AZ,316,221,0.7,2020
California,CA,12928,6420,0.5,2020
Connecticut,CT,537,316,0.59,2020
Florida,FL,2493,1598,0.64,2020
Georgia,GA,1689,994,0.59,2020
Hawaii,HI,221,151,0.68,2020
Idaho,ID,207,131,0.63,2020
Illinois,IL,2893,1918,0.66,2020
Indiana,IN,757,517,0.68,2020
Iowa,IA,222,162,0.73,2020
Kansas,KS,174,144,0.83,2020
Louisiana,LA,484,268,0.55,2020
Maine,ME,185,138,0.75,2020
Maryland,MD,1106,681,0.62,2020
Massachusetts,MA,1752,1173,0.67,2020
Michigan,MI,1077,719,0.67,2020
Mississippi,MS,166,118,0.71,2020
Missouri,MO,825,618,0.75,2020
Nebraska,NE,219,164,0.75,2020
New Hampshire,NH,126,86,0.68,2020
New Jersey,NJ,1862,1136,0.61,2020
New Mexico,NM,469,389,0.83,2020
New York,NY,8713,5750,0.66,2020
North Carolina,NC,1070,759,0.71,2020
North Dakota,ND,74,54,0.73,2020
Oklahoma,OK,378,291,0.77,2020
Pennsylvania,PA,1758,1213,0.69,2020
South Carolina,SC,577,383,0.66,2020
South Dakota,SD,85,52,0.61,2020
Tennessee,TN,964,640,0.66,2020
Texas,TX,3145,1921,0.61,2020
Utah,UT,138,90,0.65,2020
Vermont,VT,156,107,0.69,2020
U.S. Virgin Islands,VI,30,14,0.47,2020
Virginia,VA,810,624,0.77,2020
West Virginia,WV,230,153,0.67,2020
Wisconsin,WI,216,129,0.6,2020
Wyoming,WY,85,60,0.71,2020
Washington,WA,404,216,0.53,2020
ABA Federal,US,,,,2020
Alabama,AL,773,369,0.48,2021
Arizona,AR,786,489,0.62,2021
Arkansas,AZ,323,217,0.67,2021
California,CA,10634,5141,0.48,2021
Connecticut,CT,563,307,0.55,2021
Florida,FL,4472,2500,0.56,2021
Georgia,GA,1637,945,0.58,2021
Hawaii,HI,269,192,0.71,2021
Idaho,ID,239,153,0.64,2021
Illinois,IL,2658,1610,0.61,2021
Indiana,IN,578,372,0.64,2021
Iowa,IA,286,194,0.68,2021
Kansas,KS,190,139,0.73,2021
Louisiana,LA,825,532,0.64,2021
Maine,ME,237,140,0.59,2021
Maryland,MD,1243,751,0.6,2021
Massachusetts,MA,1884,1258,0.67,2021
Michigan,MI,958,566,0.59,2021
Mississippi,MS,195,130,0.67,2021
Missouri,MO,833,600,0.72,2021
Nebraska,NE,225,156,0.69,2021
New Hampshire,NH,117,72,0.62,2021
New Jersey,NJ,1735,919,0.53,2021
New Mexico,NM,221,157,0.71,2021
New York,NY,11357,6845,0.6,2021
North Carolina,NC,1252,875,0.7,2021
North Dakota,ND,84,53,0.63,2021
Oklahoma,OK,430,317,0.74,2021
Pennsylvania,PA,1728,1112,0.64,2021
South Carolina,SC,628,403,0.64,2021
South Dakota,SD,95,67,0.71,2021
Tennessee,TN,1026,588,0.57,2021
Texas,TX,4311,2771,0.64,2021
Utah,UT,306,250,0.82,2021
Vermont,VT,172,95,0.55,2021
U.S. Virgin Islands,VI,22,14,0.64,2021
Virginia,VA,780,556,0.71,2021
West Virginia,WV,196,106,0.54,2021
Wisconsin,WI,206,124,0.6,2021
Wyoming,WY,88,66,0.75,2021
Washington,WA,862,616,0.71,2021
ABA Federal,US,,,,2021
Alabama,AL,,,,2022
Arizona,AR,,,,2022
Arkansas,AZ,,,,2022
California,CA,,,,2022
Connecticut,CT,,,,2022
Florida,FL,,,,2022
Georgia,GA,,,,2022
Hawaii,HI,,,,2022
Idaho,ID,,,,2022
Illinois,IL,,,,2022
Indiana,IN,,,,2022
Iowa,IA,,,,2022
Kansas,KS,,,,2022
Louisiana,LA,,,,2022
Maine,ME,,,,2022
Maryland,MD,,,,2022
Massachusetts,MA,,,,2022
Michigan,MI,,,,2022
Mississippi,MS,,,,2022
Missouri,MO,,,,2022
Nebraska,NE,,,,2022
New Hampshire,NH,,,,2022
New Jersey,NJ,,,,2022
New Mexico,NM,,,,2022
New York,NY,,,,2022
North Carolina,NC,,,,2022
North Dakota,ND,,,,2022
Oklahoma,OK,,,,2022
Pennsylvania,PA,,,,2022
South Carolina,SC,,,,2022
South Dakota,SD,,,,2022
Tennessee,TN,,,,2022
Texas,TX,,,,2022
Utah,UT,,,,2022
Vermont,VT,,,,2022
U.S. Virgin Islands,VI,,,,2022
Virginia,VA,,,,2022
West Virginia,WV,,,,2022
Wisconsin,WI,,,,2022
Wyoming,WY,,,,2022
Washington,WA,,,,2022
ABA Federal,US,,,,2022
